Continent,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Component,Energy_type
Asia & Oceania,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Philippines,0.036708584,0.044755811,0.060100661,0.069735286,0.057058148,0.074982519,0.079568336,0.103335215,0.146613865,0.152368183,0.161826431,0.156535103,0.167580749,0.162664224,0.247171133,0.263067163,0.287848213,0.33672685,0.292500172,0.316994608,production,coal
Asia & Oceania,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,South Korea,0.086135141,0.085615942,0.082838226,0.073518601,0.073310922,0.074920439,0.071986964,0.065393134,0.054100553,0.054100553,0.054360152,0.047117324,0.045674581,0.046691233,0.045978255,0.039584986,0.030368024,0.028929539,0.027144752,0.023921479,production,coal
Asia & Oceania,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Thailand,0.204178957,0.196277313,0.208948128,0.217472079,0.198644016,0.189983615,0.188485862,0.182972699,0.190180341,0.222148238,0.188184246,0.18864604,0.192428541,0.161148676,0.179864333,0.172237329,0.157335994,0.149136556,0.140375657,0.150657509,production,coal
Asia & Oceania,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,U.S. Pacific Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Asia & Oceania,V0tnam,0.43182516,0.508274187,0.719726144,0.897203679,1.020495828,1.117997944,1.046785872,1.159972539,1.179894024,1.22663188,1.1074714,1.043575276,1.081233988,1.096444844,1.013890422,1.006258677,1.115381492,1.202315563,1.155147163,1.259110407,production,coal
Middle East,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Iran,0.028805625,0.031926375,0.034199902,0.037908321,0.037115114,0.040092019,0.038876784,0.032162689,0.030387779,0.032481155,0.029039685,0.030834363,0.029920444,0.033670016,0.037270719,0.044049648,0.047822611,0.042293513,0.043038724,0.045829006,production,coal
Middle East,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Palestinian Territor0s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Middle East,Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Argentina,0.002172486,0.00201571,0.002082901,0.002150091,0.00188133,0.002351662,0.002038107,0.001702155,0.001802941,0.001903726,0.002127694,0.001769346,0.001276617,0.000761491,0.000515126,0.000441217,0.000531085,0.000492729,0.000443972,0.000457588,production,coal
Central & South America,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Brazil,0.081959828,0.074025148,0.086134298,0.099661494,0.09371845,0.095040897,0.105349608,0.090962025,0.086277696,0.087711674,0.10541334,0.136928997,0.127824325,0.128090344,0.11009966,0.080813016,0.081466619,0.091082761,0.090284722,0.112568842,production,coal
Central & South America,British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,production,coal
Central & South America,Chile,0.00756657,0.01006546,0.004071618,0.009506268,0.011777986,0.004246366,0.011655663,0.011113945,0.010816874,0.011428491,0.012442027,0.052913563,0.056624805,0.05748804,0.046072361,0.04412024,0.041120465,0.026220411,0.009554935,0.000369672,production,coal
